Usia,Jenis_Kelamin,Status_Perkawinan,Jumlah_Anak,Pendidikan,Produk_Tabungan,Produk_Deposito,Produk_Kartu_Kredit,Pendapatan,Riwayat_Transaksi,Saldo_Rata_rata,Jalur_Pembukaan
18,Perempuan,Cerai,0,SMA,0,1,0,6536,42,9120,Aplikasi Digital
38,Perempuan,Cerai,3,Sarjana,0,1,1,5500,72,4047,Cabang
22,Perempuan,Cerai,1,Magister,1,1,0,7626,90,9927,Cabang
33,Perempuan,Belum Menikah,0,Magister,1,1,0,5715,29,4993,Cabang
24,Laki-laki,Belum Menikah,3,SMA,1,0,0,6892,55,8256,Marketing
45,Laki-laki,Belum Menikah,4,SMA,0,1,1,2252,10,3390,Marketing
39,Laki-laki,Menikah,4,SMA,0,1,1,4617,13,9081,Aplikasi Digital
45,Perempuan,Cerai,3,Magister,0,1,1,3737,94,7025,Cabang
64,Perempuan,Belum Menikah,3,Sarjana,1,1,1,4636,6,6466,Cabang
32,Perempuan,Belum Menikah,2,Magister,0,1,1,2080,67,1325,Marketing
41,Laki-laki,Cerai,0,Magister,0,0,0,3495,43,3710,Cabang
31,Perempuan,Cerai,0,SMA,1,1,0,2951,48,3113,Marketing
51,Laki-laki,Belum Menikah,4,SMA,0,0,0,2782,8,9442,Aplikasi Digital
28,Perempuan,Belum Menikah,3,Sarjana,0,0,1,3112,81,7762,Aplikasi Digital
46,Laki-laki,Belum Menikah,3,SMA,1,1,0,3698,27,9488,Cabang
63,Laki-laki,Belum Menikah,3,SMA,1,0,1,7348,50,5300,Marketing
44,Laki-laki,Cerai,0,Magister,1,0,0,6975,31,8940,Marketing
50,Laki-laki,Menikah,2,Sarjana,0,1,1,7253,15,3541,Marketing
39,Perempuan,Belum Menikah,2,Sarjana,1,0,0,5202,28,1295,Marketing
29,Perempuan,Belum Menikah,1,Sarjana,1,1,0,3271,7,9431,Aplikasi Digital
37,Perempuan,Belum Menikah,2,Magister,1,1,0,2281,75,6536,Aplikasi Digital
61,Laki-laki,Cerai,4,Magister,0,0,0,2775,27,1428,Aplikasi Digital
38,Laki-laki,Cerai,4,SMA,0,0,0,2078,68,2153,Cabang
57,Laki-laki,Menikah,0,Magister,0,1,1,4939,45,7890,Aplikasi Digital
27,Laki-laki,Menikah,3,SMA,0,1,1,2215,96,1012,Marketing
60,Perempuan,Belum Menikah,4,Magister,0,0,0,5475,44,6581,Cabang
40,Laki-laki,Menikah,0,SMA,1,0,0,6024,98,4319,Marketing
54,Laki-laki,Belum Menikah,2,Sarjana,1,0,1,6552,31,6636,Aplikasi Digital
46,Perempuan,Cerai,1,SMA,1,0,0,4155,19,3463,Cabang
34,Perempuan,Belum Menikah,3,Sarjana,0,1,1,4150,81,8230,Cabang
53,Laki-laki,Cerai,0,Sarjana,0,0,1,6175,46,4913,Aplikasi Digital
18,Laki-laki,Belum Menikah,1,Sarjana,1,1,0,6872,52,6600,Cabang
43,Perempuan,Cerai,1,Magister,1,0,0,2491,51,2071,Cabang
54,Perempuan,Belum Menikah,3,SMA,1,1,1,3194,41,4581,Cabang
32,Laki-laki,Menikah,4,SMA,1,0,0,4999,5,1567,Cabang
39,Laki-laki,Belum Menikah,2,SMA,1,1,0,7116,86,3574,Cabang
49,Laki-laki,Cerai,0,Magister,0,0,1,5017,96,1168,Cabang
28,Perempuan,Menikah,4,Sarjana,0,1,0,4708,0,2846,Aplikasi Digital
51,Laki-laki,Cerai,2,Magister,1,1,1,7598,31,2314,Cabang
54,Laki-laki,Cerai,1,Magister,0,1,1,7036,55,3460,Aplikasi Digital
49,Laki-laki,Cerai,4,Sarjana,0,0,1,3392,0,7616,Marketing
58,Laki-laki,Cerai,3,Sarjana,0,1,1,4838,84,8593,Marketing
24,Laki-laki,Cerai,1,Sarjana,0,0,1,4609,18,1513,Marketing
40,Perempuan,Belum Menikah,3,SMA,0,1,1,6841,71,2565,Cabang
53,Laki-laki,Cerai,4,SMA,0,1,0,2715,61,5290,Marketing
35,Laki-laki,Menikah,3,Sarjana,1,0,0,2908,56,3803,Marketing
24,Laki-laki,Belum Menikah,3,Sarjana,1,1,0,5551,57,2005,Marketing
21,Perempuan,Belum Menikah,3,SMA,1,0,0,2230,79,9920,Cabang
59,Laki-laki,Belum Menikah,4,Magister,1,0,0,6469,57,9430,Marketing
29,Laki-laki,Belum Menikah,3,Sarjana,1,0,0,4176,93,8179,Aplikasi Digital
29,Perempuan,Cerai,2,Sarjana,0,1,1,6545,64,3966,Cabang
35,Perempuan,Menikah,2,Magister,0,1,0,3476,76,6440,Marketing
58,Perempuan,Cerai,1,Sarjana,0,0,1,3883,47,2988,Aplikasi Digital
20,Laki-laki,Belum Menikah,0,SMA,0,0,1,2078,32,3715,Cabang
44,Laki-laki,Menikah,2,SMA,0,0,1,6841,22,9494,Aplikasi Digital
25,Laki-laki,Cerai,1,SMA,1,0,0,6206,3,4502,Cabang
36,Perempuan,Menikah,0,SMA,1,1,1,7075,4,3185,Marketing
21,Laki-laki,Belum Menikah,1,Magister,1,0,0,4599,2,1035,Aplikasi Digital
25,Laki-laki,Belum Menikah,0,SMA,1,1,0,7900,21,7777,Aplikasi Digital
61,Perempuan,Belum Menikah,1,Sarjana,1,0,1,2453,34,7416,Marketing
32,Perempuan,Belum Menikah,0,Magister,1,1,1,4921,16,1672,Cabang
27,Perempuan,Menikah,0,SMA,0,0,0,7192,66,4077,Marketing
63,Laki-laki,Menikah,2,Sarjana,0,0,1,6334,58,2513,Marketing
37,Perempuan,Menikah,2,SMA,0,1,1,6548,7,2423,Cabang
45,Perempuan,Menikah,4,SMA,0,1,1,6585,68,5943,Aplikasi Digital
26,Perempuan,Menikah,1,Magister,0,1,0,5880,66,1175,Aplikasi Digital
30,Laki-laki,Belum Menikah,2,SMA,0,0,1,6354,68,1732,Aplikasi Digital
39,Laki-laki,Belum Menikah,4,SMA,0,1,0,4715,3,2453,Aplikasi Digital
35,Laki-laki,Menikah,0,Sarjana,0,0,1,2278,30,9183,Marketing
19,Perempuan,Belum Menikah,1,Magister,0,1,1,2459,43,7111,Aplikasi Digital
43,Perempuan,Cerai,2,Magister,1,0,0,5604,64,5640,Aplikasi Digital
54,Laki-laki,Menikah,0,Sarjana,1,0,1,3197,80,3106,Aplikasi Digital
41,Laki-laki,Cerai,2,Sarjana,1,1,1,7788,46,9930,Aplikasi Digital
22,Laki-laki,Cerai,2,Sarjana,1,0,0,6528,75,7839,Aplikasi Digital
49,Laki-laki,Menikah,2,Magister,1,0,1,3633,67,8670,Cabang
54,Laki-laki,Belum Menikah,4,Sarjana,0,1,0,5749,13,4918,Marketing
42,Perempuan,Menikah,0,SMA,0,1,0,4989,88,8670,Aplikasi Digital
58,Laki-laki,Cerai,4,Sarjana,0,1,1,2398,60,4253,Aplikasi Digital
36,Perempuan,Menikah,3,Sarjana,0,1,1,2049,20,1525,Marketing
41,Laki-laki,Belum Menikah,3,Magister,0,0,0,2265,36,1623,Aplikasi Digital
50,Perempuan,Belum Menikah,3,Magister,0,0,0,7371,46,2564,Marketing
19,Laki-laki,Menikah,0,SMA,0,1,0,6940,55,9767,Cabang
57,Perempuan,Belum Menikah,0,SMA,1,0,1,6032,25,4711,Aplikasi Digital
47,Perempuan,Belum Menikah,1,Sarjana,0,0,1,2295,66,2973,Aplikasi Digital
45,Laki-laki,Menikah,1,Sarjana,0,1,0,4751,96,3441,Cabang
33,Perempuan,Belum Menikah,3,Magister,0,1,1,3211,37,8572,Aplikasi Digital
22,Laki-laki,Menikah,4,SMA,1,0,1,4943,15,3956,Cabang
52,Laki-laki,Cerai,3,SMA,0,0,0,4203,99,5018,Cabang
22,Perempuan,Menikah,2,Sarjana,0,1,1,3493,70,9435,Aplikasi Digital
22,Perempuan,Cerai,2,Sarjana,0,1,1,2483,0,4189,Cabang
18,Perempuan,Cerai,3,Magister,1,1,0,2083,9,1283,Aplikasi Digital
63,Laki-laki,Menikah,3,Magister,1,1,1,2945,34,7721,Aplikasi Digital
47,Laki-laki,Belum Menikah,0,Magister,1,1,1,6756,23,4601,Aplikasi Digital
40,Laki-laki,Belum Menikah,0,Magister,0,0,0,2632,31,1153,Cabang
49,Perempuan,Menikah,3,SMA,0,0,1,2968,51,9611,Cabang
34,Perempuan,Cerai,4,Sarjana,1,0,1,7648,86,7233,Cabang
22,Laki-laki,Cerai,1,Magister,1,0,1,6029,69,4288,Marketing
22,Laki-laki,Cerai,1,SMA,1,1,0,2725,65,5431,Aplikasi Digital
49,Laki-laki,Cerai,4,Magister,1,0,0,4641,73,9984,Cabang
48,Perempuan,Cerai,4,Magister,1,0,0,4975,97,9837,Marketing
63,Laki-laki,Cerai,2,Magister,0,0,0,7870,35,3742,Aplikasi Digital
25,Laki-laki,Cerai,3,Magister,1,1,0,7177,71,6767,Aplikasi Digital
20,Perempuan,Belum Menikah,3,SMA,0,0,1,6994,81,7234,Aplikasi Digital
29,Laki-laki,Belum Menikah,1,Magister,0,0,1,6651,0,5509,Marketing
52,Perempuan,Cerai,1,Magister,0,1,1,2677,3,4823,Cabang
48,Laki-laki,Belum Menikah,4,Magister,0,1,0,5463,77,5313,Cabang
57,Laki-laki,Cerai,2,SMA,1,0,0,4849,65,9054,Cabang
52,Laki-laki,Cerai,4,SMA,0,1,1,5394,22,1751,Cabang
55,Perempuan,Cerai,2,Magister,1,1,1,5880,53,9111,Aplikasi Digital
32,Perempuan,Cerai,3,Magister,0,1,1,5921,74,4946,Aplikasi Digital
24,Laki-laki,Belum Menikah,2,SMA,0,0,0,4027,17,1833,Cabang
19,Perempuan,Menikah,0,Magister,0,0,0,5610,93,4470,Cabang
53,Perempuan,Cerai,2,SMA,0,0,1,2789,2,7692,Cabang
31,Laki-laki,Cerai,2,SMA,1,1,1,4487,48,4454,Marketing
21,Laki-laki,Menikah,0,SMA,0,1,0,2546,9,4995,Aplikasi Digital
53,Perempuan,Belum Menikah,1,Sarjana,1,1,1,5484,60,6182,Cabang
44,Laki-laki,Menikah,2,SMA,0,1,1,2592,26,2171,Cabang
64,Laki-laki,Menikah,2,Magister,0,0,0,4695,68,4644,Marketing
40,Laki-laki,Menikah,3,Magister,1,0,0,6874,36,2815,Cabang
29,Perempuan,Menikah,2,Magister,0,0,0,6277,30,1274,Aplikasi Digital
48,Perempuan,Menikah,3,SMA,1,0,1,6921,27,8869,Marketing
57,Perempuan,Belum Menikah,0,SMA,1,1,1,7521,44,8085,Marketing
20,Perempuan,Cerai,2,Sarjana,1,0,1,2284,10,7661,Marketing
44,Laki-laki,Menikah,2,Sarjana,1,0,1,2090,55,6561,Cabang
18,Perempuan,Menikah,3,Sarjana,0,1,0,3560,40,2344,Cabang
30,Perempuan,Belum Menikah,4,Sarjana,0,1,1,2094,18,3055,Cabang
26,Perempuan,Menikah,3,Magister,0,0,1,3396,60,6740,Marketing
19,Laki-laki,Menikah,4,Sarjana,1,1,1,4071,66,2404,Marketing
46,Laki-laki,Cerai,3,Sarjana,1,1,1,7126,33,8269,Aplikasi Digital
42,Laki-laki,Belum Menikah,0,Sarjana,1,0,0,6062,43,9808,Marketing
21,Perempuan,Menikah,1,SMA,1,1,1,5044,88,3081,Cabang
49,Perempuan,Menikah,0,Magister,0,1,1,5299,28,7391,Cabang
43,Laki-laki,Cerai,3,Sarjana,1,0,0,6194,30,8911,Marketing
39,Laki-laki,Menikah,3,Magister,0,1,0,7436,47,9372,Aplikasi Digital
52,Perempuan,Belum Menikah,0,Magister,0,1,1,5809,84,6435,Marketing
32,Perempuan,Cerai,2,SMA,1,1,0,6353,54,9393,Marketing
41,Laki-laki,Belum Menikah,0,Magister,1,1,0,6270,73,3415,Marketing
63,Perempuan,Menikah,3,SMA,0,0,0,6219,58,3724,Cabang
18,Perempuan,Belum Menikah,3,Magister,0,1,0,7756,81,6933,Cabang
22,Perempuan,Cerai,3,SMA,0,0,0,7489,57,6775,Cabang
56,Perempuan,Menikah,1,Sarjana,0,1,0,4774,68,2690,Marketing
41,Perempuan,Cerai,4,Magister,0,1,0,7297,34,1362,Aplikasi Digital
62,Laki-laki,Menikah,2,Sarjana,1,0,1,7488,93,4133,Marketing
45,Laki-laki,Belum Menikah,2,SMA,1,1,0,6339,17,9481,Marketing
64,Perempuan,Belum Menikah,4,Sarjana,1,1,1,4616,37,6666,Cabang
34,Laki-laki,Belum Menikah,3,SMA,0,1,0,5832,44,9118,Cabang
19,Laki-laki,Menikah,0,Magister,0,1,0,2940,31,3439,Marketing
53,Perempuan,Belum Menikah,0,SMA,1,0,0,3645,4,3323,Aplikasi Digital
21,Laki-laki,Cerai,2,SMA,1,0,0,3969,10,3696,Cabang
38,Perempuan,Belum Menikah,4,Sarjana,0,0,0,6221,87,6559,Aplikasi Digital
52,Laki-laki,Cerai,1,Sarjana,1,1,1,2635,95,8757,Aplikasi Digital
25,Perempuan,Menikah,3,SMA,1,1,0,2638,73,3130,Marketing
57,Perempuan,Menikah,4,Sarjana,0,1,0,5183,49,7166,Marketing
62,Perempuan,Cerai,2,Sarjana,0,1,1,6081,51,1485,Marketing
34,Laki-laki,Belum Menikah,1,SMA,1,0,1,4821,65,4947,Aplikasi Digital
52,Laki-laki,Menikah,3,Magister,0,1,1,4359,1,6393,Cabang
32,Laki-laki,Cerai,0,SMA,0,0,0,4730,49,4733,Cabang
20,Perempuan,Menikah,0,Magister,0,0,0,2007,52,1619,Marketing
38,Perempuan,Menikah,0,SMA,0,1,1,5809,10,2797,Cabang
39,Perempuan,Cerai,4,Magister,0,1,1,5796,65,8975,Aplikasi Digital
55,Perempuan,Cerai,4,Magister,0,1,1,6411,60,1879,Aplikasi Digital
25,Perempuan,Menikah,0,Magister,1,1,0,4934,36,9258,Cabang
43,Laki-laki,Menikah,4,Sarjana,1,0,0,4649,20,7170,Aplikasi Digital
18,Laki-laki,Belum Menikah,0,Sarjana,1,0,1,7880,83,4959,Aplikasi Digital
20,Perempuan,Menikah,4,Magister,0,1,0,2561,69,8555,Aplikasi Digital
38,Laki-laki,Cerai,3,Sarjana,0,1,1,4466,61,9208,Marketing
42,Laki-laki,Belum Menikah,3,SMA,1,0,1,7319,44,7401,Marketing
56,Perempuan,Cerai,0,SMA,0,1,0,3016,18,8922,Cabang
34,Laki-laki,Menikah,0,Sarjana,1,0,0,7985,29,4238,Cabang
36,Laki-laki,Belum Menikah,4,Magister,0,1,1,5763,15,6989,Cabang
43,Laki-laki,Menikah,3,SMA,0,0,1,5196,65,4974,Aplikasi Digital
61,Perempuan,Menikah,3,Magister,1,0,1,4343,56,9034,Aplikasi Digital
55,Perempuan,Belum Menikah,3,SMA,1,1,0,5457,89,4058,Marketing
48,Laki-laki,Menikah,0,Magister,0,0,0,2108,56,7955,Marketing
54,Perempuan,Belum Menikah,4,Sarjana,0,1,1,7311,59,2827,Cabang
25,Perempuan,Cerai,2,Sarjana,0,0,1,7765,27,3459,Cabang
23,Laki-laki,Belum Menikah,4,Magister,0,1,1,5174,61,7769,Aplikasi Digital
21,Laki-laki,Cerai,3,SMA,1,0,0,5350,61,1608,Marketing
30,Perempuan,Cerai,3,Magister,1,0,0,4291,6,6525,Marketing
43,Laki-laki,Belum Menikah,4,Magister,1,0,0,2991,0,7177,Aplikasi Digital
39,Perempuan,Belum Menikah,0,Magister,1,0,0,6419,11,5964,Cabang
20,Perempuan,Cerai,0,Magister,1,0,0,6218,75,5311,Marketing
29,Laki-laki,Menikah,1,Magister,0,1,0,2385,91,5268,Marketing
47,Perempuan,Belum Menikah,3,Sarjana,1,0,1,2464,85,7004,Marketing
19,Laki-laki,Cerai,3,Magister,0,1,0,4357,41,2168,Marketing
45,Perempuan,Menikah,3,Magister,1,0,0,6634,62,7118,Marketing
30,Perempuan,Belum Menikah,0,SMA,1,0,0,6769,24,5075,Aplikasi Digital
49,Perempuan,Belum Menikah,2,Magister,0,0,0,3130,54,2014,Aplikasi Digital
33,Perempuan,Cerai,1,Sarjana,1,1,0,3028,32,3667,Aplikasi Digital
48,Laki-laki,Menikah,0,SMA,0,0,0,2779,10,3249,Cabang
41,Perempuan,Menikah,4,Sarjana,1,1,1,4230,29,9716,Marketing
53,Perempuan,Belum Menikah,4,SMA,0,1,0,3768,63,8242,Aplikasi Digital
23,Perempuan,Menikah,3,Magister,1,1,0,5561,80,8920,Marketing
42,Laki-laki,Cerai,4,Magister,0,1,1,3970,1,8059,Marketing
59,Perempuan,Menikah,0,Magister,0,0,0,4833,87,8985,Marketing
34,Laki-laki,Cerai,4,SMA,0,0,0,4618,87,1920,Marketing
32,Laki-laki,Menikah,0,Sarjana,0,0,1,7830,10,4868,Cabang
21,Laki-laki,Belum Menikah,2,Sarjana,0,0,1,7398,62,5955,Aplikasi Digital
57,Laki-laki,Menikah,1,Sarjana,0,0,0,6573,72,2072,Aplikasi Digital
56,Perempuan,Belum Menikah,1,SMA,0,0,1,2164,51,9729,Cabang
63,Perempuan,Belum Menikah,3,SMA,0,1,1,4975,95,7903,Marketing
23,Laki-laki,Cerai,3,SMA,1,0,0,3725,27,2915,Marketing
47,Laki-laki,Menikah,4,Sarjana,0,0,1,5946,28,7913,Cabang
36,Perempuan,Belum Menikah,0,Sarjana,0,0,0,5847,56,5501,Cabang
45,Perempuan,Menikah,1,Magister,0,1,0,3468,85,4003,Cabang
54,Perempuan,Menikah,0,Sarjana,1,0,1,6181,70,7610,Aplikasi Digital
21,Laki-laki,Cerai,0,Sarjana,1,1,1,4434,60,9468,Marketing
46,Perempuan,Belum Menikah,4,Sarjana,1,1,0,6715,58,3972,Aplikasi Digital
33,Perempuan,Cerai,3,SMA,0,1,1,2747,31,7544,Marketing
21,Laki-laki,Belum Menikah,4,Sarjana,0,1,1,6606,12,9780,Aplikasi Digital
31,Laki-laki,Belum Menikah,0,SMA,0,1,0,5227,83,3327,Cabang
41,Perempuan,Belum Menikah,1,Sarjana,0,1,1,3643,39,9093,Aplikasi Digital
57,Laki-laki,Menikah,1,SMA,1,0,1,2745,84,1148,Cabang
55,Perempuan,Belum Menikah,4,SMA,1,1,0,3883,10,1809,Marketing
18,Perempuan,Belum Menikah,1,Sarjana,0,0,0,4913,83,7784,Marketing
51,Laki-laki,Menikah,4,Sarjana,0,0,1,6801,82,8520,Marketing
60,Perempuan,Cerai,2,Magister,0,0,0,5003,7,2773,Cabang
53,Perempuan,Cerai,3,Sarjana,0,0,1,6211,68,7508,Cabang
18,Laki-laki,Cerai,3,Magister,0,1,0,4425,82,7290,Cabang
64,Laki-laki,Belum Menikah,0,Magister,1,0,1,6921,10,7214,Cabang
19,Perempuan,Belum Menikah,0,SMA,1,0,1,5253,58,2920,Cabang
64,Laki-laki,Menikah,4,Magister,1,0,0,3760,28,8438,Cabang
58,Laki-laki,Menikah,0,Sarjana,0,1,1,4849,31,2999,Marketing
50,Perempuan,Menikah,4,Sarjana,0,1,1,3082,69,7284,Cabang
57,Perempuan,Belum Menikah,1,Magister,1,0,0,7116,2,6578,Aplikasi Digital
31,Perempuan,Cerai,3,Magister,0,1,1,7825,23,3255,Aplikasi Digital
19,Perempuan,Belum Menikah,1,Sarjana,0,0,1,4537,43,5907,Marketing
21,Laki-laki,Cerai,3,Sarjana,0,0,1,5912,69,4283,Marketing
34,Laki-laki,Menikah,3,Magister,1,1,1,6402,14,4495,Marketing
45,Laki-laki,Cerai,0,SMA,0,1,0,3761,41,1075,Aplikasi Digital
64,Perempuan,Belum Menikah,0,SMA,1,1,1,2816,73,8827,Marketing
21,Perempuan,Cerai,3,SMA,0,0,0,6027,97,2286,Marketing
38,Laki-laki,Belum Menikah,1,SMA,1,1,0,6670,37,7564,Cabang
42,Perempuan,Belum Menikah,0,Sarjana,0,1,1,3082,43,1473,Marketing
48,Perempuan,Cerai,0,Sarjana,0,0,0,6253,55,6145,Aplikasi Digital
51,Laki-laki,Menikah,1,Magister,0,0,0,7139,21,6153,Marketing
37,Perempuan,Cerai,4,Magister,1,1,0,2389,32,3776,Marketing
63,Laki-laki,Cerai,3,Magister,1,1,0,5691,97,8819,Cabang
24,Perempuan,Belum Menikah,4,SMA,0,1,0,2976,23,2863,Cabang
53,Perempuan,Menikah,4,SMA,1,0,1,4700,2,5978,Marketing
63,Laki-laki,Cerai,4,SMA,0,0,0,6693,42,7726,Marketing
56,Laki-laki,Menikah,2,Magister,0,0,0,5788,25,8863,Aplikasi Digital
20,Laki-laki,Cerai,1,SMA,0,1,1,7179,66,3010,Marketing
25,Perempuan,Cerai,3,Magister,1,1,1,7199,18,8453,Aplikasi Digital
51,Perempuan,Cerai,1,Magister,1,1,0,4221,1,5418,Aplikasi Digital
34,Laki-laki,Menikah,2,SMA,0,1,0,2078,63,8313,Marketing
62,Laki-laki,Cerai,2,Sarjana,0,0,1,7913,44,4061,Aplikasi Digital
58,Laki-laki,Belum Menikah,4,Sarjana,0,0,0,6683,41,8785,Aplikasi Digital
46,Perempuan,Menikah,1,Sarjana,1,0,0,2203,64,4055,Cabang
18,Perempuan,Menikah,0,SMA,1,1,1,7616,24,7583,Marketing
46,Laki-laki,Menikah,3,SMA,0,0,0,4517,91,6916,Marketing
31,Perempuan,Cerai,2,Sarjana,0,1,0,3474,36,8843,Marketing
56,Laki-laki,Cerai,0,Magister,0,0,0,2565,46,7642,Aplikasi Digital
55,Perempuan,Belum Menikah,3,Sarjana,1,0,0,6621,12,7451,Marketing
42,Perempuan,Belum Menikah,0,Magister,1,0,1,7370,13,4296,Marketing
62,Laki-laki,Menikah,2,SMA,1,1,0,2558,59,4473,Marketing
32,Laki-laki,Menikah,3,SMA,1,1,0,4896,43,3256,Aplikasi Digital
47,Perempuan,Cerai,3,Magister,0,0,0,6833,87,1363,Cabang
27,Laki-laki,Menikah,4,SMA,1,1,0,7998,62,2761,Marketing
37,Perempuan,Menikah,0,Magister,1,0,0,6752,24,8450,Cabang
47,Laki-laki,Cerai,4,SMA,1,0,1,6344,25,7165,Marketing
50,Perempuan,Menikah,2,Sarjana,0,0,0,5646,38,7789,Marketing
28,Perempuan,Belum Menikah,2,SMA,1,0,1,4513,30,9535,Aplikasi Digital
23,Laki-laki,Belum Menikah,4,SMA,0,1,0,5480,16,9258,Cabang
33,Laki-laki,Belum Menikah,0,SMA,0,0,1,5945,75,7040,Aplikasi Digital
29,Perempuan,Cerai,4,Magister,1,1,0,4563,8,6742,Cabang
19,Laki-laki,Belum Menikah,1,SMA,1,1,1,2150,55,1802,Aplikasi Digital
29,Laki-laki,Cerai,0,SMA,0,0,1,2095,52,9880,Cabang
25,Perempuan,Belum Menikah,3,Magister,1,1,0,3520,5,5689,Aplikasi Digital
28,Laki-laki,Cerai,1,Magister,1,0,0,6116,21,7352,Cabang
31,Laki-laki,Belum Menikah,1,Magister,1,1,1,4858,5,5561,Cabang
43,Laki-laki,Menikah,3,Sarjana,1,1,0,3025,66,3362,Cabang
33,Laki-laki,Belum Menikah,4,Sarjana,1,0,1,4464,4,7434,Cabang
33,Perempuan,Belum Menikah,2,Magister,0,1,1,5759,86,6547,Marketing
32,Laki-laki,Menikah,3,SMA,1,1,0,6439,72,2429,Aplikasi Digital
64,Perempuan,Belum Menikah,4,Sarjana,1,1,1,6910,93,2059,Cabang
40,Laki-laki,Cerai,1,Magister,0,0,0,4603,71,7574,Cabang
24,Perempuan,Menikah,4,Magister,1,0,0,7740,35,2806,Marketing
35,Perempuan,Cerai,1,Sarjana,0,1,0,7338,61,1262,Aplikasi Digital
45,Laki-laki,Belum Menikah,2,SMA,0,1,0,7943,2,5290,Marketing
57,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,6789,67,1947,Cabang
45,Perempuan,Menikah,0,Magister,0,1,1,4399,23,4189,Cabang
63,Perempuan,Cerai,3,SMA,1,1,0,3437,28,6223,Cabang
34,Perempuan,Belum Menikah,2,Magister,0,0,0,5210,10,3691,Cabang
32,Perempuan,Cerai,1,SMA,0,0,0,7096,16,2141,Cabang
37,Laki-laki,Belum Menikah,4,Sarjana,0,0,0,3057,18,1367,Marketing
56,Laki-laki,Belum Menikah,3,Magister,0,0,1,5863,7,5683,Cabang
41,Perempuan,Cerai,0,SMA,0,0,0,7887,48,7606,Aplikasi Digital
